1. score=1690.0 | ping=141.8ms | real=3/3 | protocol=VLESS | endpoint=104.18.47.113:8880
2. score=1690.0 | ping=153.3ms | real=3/3 | protocol=VLESS | endpoint=162.159.0.169:2095
3. score=1690.0 | ping=153.4ms | real=3/3 | protocol=VLESS | endpoint=172.64.52.6:2086
4. score=1690.0 | ping=153.9ms | real=3/3 | protocol=VLESS | endpoint=162.159.48.32:2082
5. score=1690.0 | ping=157.4ms | real=3/3 | protocol=VLESS | endpoint=162.159.39.218:80
6. score=1690.0 | ping=158.3ms | real=3/3 | protocol=VLESS | endpoint=108.162.198.178:80
7. score=1690.0 | ping=158.4ms | real=3/3 | protocol=VLESS | endpoint=162.159.43.187:80
8. score=1690.0 | ping=159.6ms | real=3/3 | protocol=VLESS | endpoint=172.64.158.146:80
9. score=1690.0 | ping=164.4ms | real=3/3 | protocol=VLESS | endpoint=162.159.24.131:2095
10. score=1690.0 | ping=167.4ms | real=3/3 | protocol=VLESS | endpoint=162.159.38.127:2082
11. score=1650.0 | ping=182.3ms | real=3/3 | protocol=VLESS | endpoint=162.159.38.127:2052
12. score=1500.0 | ping=718.5ms | real=3/3 | protocol=TROJAN | endpoint=212.183.88.136:443
13. score=1500.0 | ping=1005.4ms | real=3/3 | protocol=VLESS | endpoint=170.114.46.6:80
14. score=1500.0 | ping=1434.8ms | real=3/3 | protocol=VLESS-TLS | endpoint=91.193.58.132:2096
15. score=1492.5 | ping=597.1ms | real=3/3 | protocol=TROJAN | endpoint=212.183.88.136:443
16. score=1475.0 | ping=1206.9ms | real=3/3 | protocol=VLESS-TLS | endpoint=91.193.58.140:2096
17. score=1445.0 | ping=1348.0ms | real=3/3 | protocol=VLESS-TLS | endpoint=104.17.70.206:2096
18. score=1420.0 | ping=1191.7ms | real=3/3 | protocol=VLESS-TLS | endpoint=91.193.58.157:2096
19. score=1420.0 | ping=1212.3ms | real=3/3 | protocol=VLESS-TLS | endpoint=91.193.58.198:2096
20. score=1390.0 | ping=807.8ms | real=3/3 | protocol=TROJAN | endpoint=185.18.250.252:443
